date,y
2024-03-23 09:00:00,2.29808
2024-03-23 10:00:00,2.30631
2024-03-23 11:00:00,2.32513
2024-03-23 12:00:00,2.29069
2024-03-23 13:00:00,2.29064
2024-03-23 14:00:00,2.28141
2024-03-23 15:00:00,2.27931
2024-03-23 16:00:00,2.25642
2024-03-23 17:00:00,2.25827
2024-03-23 18:00:00,2.23619
2024-03-23 19:00:00,2.24707
2024-03-23 20:00:00,2.21534
2024-03-23 21:00:00,2.24555
2024-03-23 22:00:00,2.21612
2024-03-23 23:00:00,2.21336
2024-03-24 00:00:00,2.23596
2024-03-24 01:00:00,2.2468
2024-03-24 02:00:00,2.26446
2024-03-24 03:00:00,2.23809
2024-03-24 04:00:00,2.26131
2024-03-24 05:00:00,2.27339
2024-03-24 06:00:00,2.29472
2024-03-24 07:00:00,2.29438
2024-03-24 08:00:00,2.29901
2024-03-24 09:00:00,2.29264
2024-03-24 10:00:00,2.32169
2024-03-24 11:00:00,2.3375
2024-03-24 12:00:00,2.32492
2024-03-24 13:00:00,2.3209
2024-03-24 14:00:00,2.32866
2024-03-24 15:00:00,2.31269
2024-03-24 16:00:00,2.29477
2024-03-24 17:00:00,2.28449
2024-03-24 18:00:00,2.27479
2024-03-24 19:00:00,2.24451
2024-03-24 20:00:00,2.21678
2024-03-24 21:00:00,2.18678
2024-03-24 22:00:00,2.17263
2024-03-24 23:00:00,2.13229
2024-03-25 00:00:00,2.10898
2024-03-25 01:00:00,2.09255
2024-03-25 02:00:00,2.05925
2024-03-25 03:00:00,2.0282
2024-03-25 04:00:00,2.00671
2024-03-25 05:00:00,1.98019
2024-03-25 06:00:00,1.96435
2024-03-25 07:00:00,1.95646
2024-03-25 08:00:00,1.91514
2024-03-25 09:00:00,1.89932
2024-03-25 10:00:00,1.87273
2024-03-25 11:00:00,1.83862
2024-03-25 12:00:00,1.81191
2024-03-25 13:00:00,1.79234
2024-03-25 14:00:00,1.76408
2024-03-25 15:00:00,1.71476
2024-03-25 16:00:00,1.66305
2024-03-25 17:00:00,1.63418
2024-03-25 18:00:00,1.58635
2024-03-25 19:00:00,1.51145
2024-03-25 20:00:00,1.48022
2024-03-25 21:00:00,1.41764
2024-03-25 22:00:00,1.38851
2024-03-25 23:00:00,1.3332
2024-03-26 00:00:00,1.26631
2024-03-26 01:00:00,1.23254
2024-03-26 02:00:00,1.18917
2024-03-26 03:00:00,1.18279
2024-03-26 04:00:00,1.18034
2024-03-26 05:00:00,1.133
2024-03-26 06:00:00,1.14481
2024-03-26 07:00:00,1.16753
2024-03-26 08:00:00,1.16683
2024-03-26 09:00:00,1.20055
2024-03-26 10:00:00,1.19008
2024-03-26 11:00:00,1.18865
2024-03-26 12:00:00,1.15038
2024-03-26 13:00:00,1.11556
2024-03-26 14:00:00,1.03915
2024-03-26 15:00:00,0.93934
2024-03-26 16:00:00,0.83487
2024-03-26 17:00:00,0.66758
2024-03-26 18:00:00,0.487
2024-03-26 19:00:00,0.32272
2024-03-26 20:00:00,0.14677
2024-03-26 21:00:00,-0.02096
2024-03-26 22:00:00,-0.16456
2024-03-26 23:00:00,-0.29908
2024-03-27 00:00:00,-0.28877
2024-03-27 01:00:00,-0.14936
2024-03-27 02:00:00,0.03169
2024-03-27 03:00:00,0.23063
2024-03-27 04:00:00,0.44319
2024-03-27 05:00:00,0.63524
2024-03-27 06:00:00,0.81948
2024-03-27 07:00:00,0.98767
2024-03-27 08:00:00,1.12638
2024-03-27 09:00:00,1.23824
2024-03-27 10:00:00,1.27813
2024-03-27 11:00:00,1.33781
2024-03-27 12:00:00,1.3422
2024-03-27 13:00:00,1.30821
2024-03-27 14:00:00,1.27561
2024-03-27 15:00:00,1.23792
2024-03-27 16:00:00,1.18752
2024-03-27 17:00:00,1.14898
2024-03-27 18:00:00,1.08096
2024-03-27 19:00:00,1.06199
2024-03-27 20:00:00,1.05018
2024-03-27 21:00:00,1.04604
2024-03-27 22:00:00,1.0465
2024-03-27 23:00:00,1.05917
2024-03-28 00:00:00,1.09269
2024-03-28 01:00:00,1.11812
2024-03-28 02:00:00,1.17394
2024-03-28 03:00:00,1.22074
2024-03-28 04:00:00,1.27187
2024-03-28 05:00:00,1.33834
2024-03-28 06:00:00,1.39378
2024-03-28 07:00:00,1.44598
2024-03-28 08:00:00,1.52402
2024-03-28 09:00:00,1.55356
2024-03-28 10:00:00,1.60166
2024-03-28 11:00:00,1.66921
2024-03-28 12:00:00,1.68871
2024-03-28 13:00:00,1.69835
2024-03-28 14:00:00,1.74061
2024-03-28 15:00:00,1.76665
2024-03-28 16:00:00,1.78851
2024-03-28 17:00:00,1.80004
2024-03-28 18:00:00,1.82623
2024-03-28 19:00:00,1.86942
2024-03-28 20:00:00,1.85281
2024-03-28 21:00:00,1.89016
2024-03-28 22:00:00,1.90047
2024-03-28 23:00:00,1.90001
2024-03-29 00:00:00,1.94207
2024-03-29 01:00:00,1.95697
2024-03-29 02:00:00,1.99268
2024-03-29 03:00:00,1.99282
2024-03-29 04:00:00,2.01819
2024-03-29 05:00:00,2.02386
2024-03-29 06:00:00,2.0485
2024-03-29 07:00:00,2.06849
2024-03-29 08:00:00,2.07205
2024-03-29 09:00:00,2.06182
2024-03-29 10:00:00,2.10248
2024-03-29 11:00:00,2.11728
2024-03-29 12:00:00,2.14791
2024-03-29 13:00:00,2.12984
2024-03-29 14:00:00,2.16287
2024-03-29 15:00:00,2.12987
2024-03-29 16:00:00,2.15009
2024-03-29 17:00:00,2.1472
2024-03-29 18:00:00,2.18495
2024-03-29 19:00:00,2.15298
2024-03-29 20:00:00,2.15464
2024-03-29 21:00:00,2.16803
2024-03-29 22:00:00,2.17018
2024-03-29 23:00:00,2.17576
2024-03-30 00:00:00,2.16996
2024-03-30 01:00:00,2.17071
2024-03-30 02:00:00,2.17826
2024-03-30 03:00:00,2.16505
2024-03-30 04:00:00,2.18134
2024-03-30 05:00:00,2.17075
2024-03-30 06:00:00,2.16955
2024-03-30 07:00:00,2.19503
2024-03-30 08:00:00,2.18232
2024-03-30 09:00:00,2.15523
2024-03-30 10:00:00,2.13722
2024-03-30 11:00:00,2.1508
2024-03-30 12:00:00,2.12938
2024-03-30 13:00:00,2.11806
2024-03-30 14:00:00,2.11749
2024-03-30 15:00:00,2.0556
2024-03-30 16:00:00,2.03367
2024-03-30 17:00:00,2.01737
2024-03-30 18:00:00,1.98216
2024-03-30 19:00:00,1.96275
2024-03-30 20:00:00,1.95003
2024-03-30 21:00:00,1.90611
2024-03-30 22:00:00,1.87573
2024-03-30 23:00:00,1.86273
2024-03-31 00:00:00,1.85875
2024-03-31 01:00:00,1.84909
2024-03-31 02:00:00,1.83007
2024-03-31 03:00:00,1.87394
2024-03-31 04:00:00,1.90245
2024-03-31 05:00:00,1.90995
2024-03-31 06:00:00,1.98279
2024-03-31 07:00:00,2.03035
2024-03-31 08:00:00,2.12485
2024-03-31 09:00:00,2.19987
2024-03-31 10:00:00,2.30399
2024-03-31 11:00:00,2.38891
2024-03-31 12:00:00,2.4929
2024-03-31 13:00:00,2.59391
2024-03-31 14:00:00,2.66895
2024-03-31 15:00:00,2.73376
2024-03-31 16:00:00,2.78094
2024-03-31 17:00:00,2.81523
2024-03-31 18:00:00,2.81544
2024-03-31 19:00:00,2.8251
2024-03-31 20:00:00,2.83398
2024-03-31 21:00:00,2.82131
2024-03-31 22:00:00,2.81877
2024-03-31 23:00:00,2.80201
2024-04-01 00:00:00,2.42702
2024-04-01 01:00:00,2.49405
2024-04-01 02:00:00,2.57468
2024-04-01 03:00:00,2.63621
2024-04-01 04:00:00,2.72177
2024-04-01 05:00:00,2.79616
2024-04-01 06:00:00,2.83611
2024-04-01 07:00:00,2.85745
2024-04-01 08:00:00,2.83251
2024-04-01 09:00:00,2.80956
2024-04-01 10:00:00,2.74977
2024-04-01 11:00:00,2.67688
2024-04-01 12:00:00,2.60666
2024-04-01 13:00:00,2.48933
2024-04-01 14:00:00,2.40809
2024-04-01 15:00:00,2.30905
2024-04-01 16:00:00,2.20478
2024-04-01 17:00:00,2.11855
2024-04-01 18:00:00,2.05303
2024-04-01 19:00:00,1.97012
2024-04-01 20:00:00,1.94352
2024-04-01 21:00:00,1.92598
2024-04-01 22:00:00,1.89029
2024-04-01 23:00:00,1.8904
2024-04-02 00:00:00,1.88838
2024-04-02 01:00:00,1.90039
2024-04-02 02:00:00,1.94151
2024-04-02 03:00:00,1.92637
2024-04-02 04:00:00,1.96505
2024-04-02 05:00:00,1.99335
2024-04-02 06:00:00,2.03509
2024-04-02 07:00:00,2.04865
2024-04-02 08:00:00,2.11929
2024-04-02 09:00:00,2.13957
2024-04-02 10:00:00,2.15387
2024-04-02 11:00:00,2.22056
2024-04-02 12:00:00,2.18891
2024-04-02 13:00:00,2.19437
2024-04-02 14:00:00,2.24039
2024-04-02 15:00:00,2.24128
2024-04-02 16:00:00,2.26179
2024-04-02 17:00:00,2.27211
2024-04-02 18:00:00,2.26889
2024-04-02 19:00:00,2.28899
2024-04-02 20:00:00,2.2593
2024-04-02 21:00:00,2.29243
2024-04-02 22:00:00,2.27401
2024-04-02 23:00:00,2.25962
2024-04-03 00:00:00,2.27295
2024-04-03 01:00:00,2.28274
2024-04-03 02:00:00,2.32854
2024-04-03 03:00:00,2.24651
2024-04-03 04:00:00,2.29259
2024-04-03 05:00:00,2.26754
2024-04-03 06:00:00,2.26814
2024-04-03 07:00:00,2.29513
2024-04-03 08:00:00,2.29299
2024-04-03 09:00:00,2.24979
2024-04-03 10:00:00,2.29644
2024-04-03 11:00:00,2.28422
2024-04-03 12:00:00,2.30178
2024-04-03 13:00:00,2.30456
2024-04-03 14:00:00,2.28078
2024-04-03 15:00:00,2.23106
2024-04-03 16:00:00,2.2411
2024-04-03 17:00:00,2.20082
2024-04-03 18:00:00,2.22046
2024-04-03 19:00:00,2.16751
2024-04-03 20:00:00,2.16734
2024-04-03 21:00:00,2.1593
2024-04-03 22:00:00,2.12284
2024-04-03 23:00:00,2.1055
2024-04-04 00:00:00,2.06024
2024-04-04 01:00:00,2.04075
2024-04-04 02:00:00,2.02043
2024-04-04 03:00:00,1.96683
2024-04-04 04:00:00,1.98202
2024-04-04 05:00:00,1.9441
2024-04-04 06:00:00,1.93267
2024-04-04 07:00:00,1.93495
2024-04-04 08:00:00,1.90171
2024-04-04 09:00:00,1.90457
2024-04-04 10:00:00,1.85396
2024-04-04 11:00:00,1.82697
2024-04-04 12:00:00,1.80361
2024-04-04 13:00:00,1.81943
2024-04-04 14:00:00,1.76828
2024-04-04 15:00:00,1.7435
2024-04-04 16:00:00,1.6962
2024-04-04 17:00:00,1.64341
2024-04-04 18:00:00,1.59581
2024-04-04 19:00:00,1.54674
2024-04-04 20:00:00,1.50046
2024-04-04 21:00:00,1.40361
2024-04-04 22:00:00,1.34424
2024-04-04 23:00:00,1.27813
2024-04-05 00:00:00,1.22753
2024-04-05 01:00:00,1.16986
2024-04-05 02:00:00,1.08064
2024-04-05 03:00:00,1.03059
2024-04-05 04:00:00,1.01568
2024-04-05 05:00:00,0.93671
2024-04-05 06:00:00,0.93582
2024-04-05 07:00:00,0.92132
2024-04-05 08:00:00,0.93156
2024-04-05 09:00:00,0.91164
2024-04-05 10:00:00,0.88617
2024-04-05 11:00:00,0.8923
2024-04-05 12:00:00,0.85617
2024-04-05 13:00:00,0.81145
2024-04-05 14:00:00,0.78769
2024-04-05 15:00:00,0.67903
2024-04-05 16:00:00,0.58496
2024-04-05 17:00:00,0.44158
2024-04-05 18:00:00,0.28572
2024-04-05 19:00:00,0.12481
2024-04-05 20:00:00,-0.05644
2024-04-05 21:00:00,-0.18737
2024-04-05 22:00:00,-0.28664
2024-04-05 23:00:00,-0.39884
2024-04-06 00:00:00,-0.41901
2024-04-06 01:00:00,-0.28844
2024-04-06 02:00:00,-0.13207
2024-04-06 03:00:00,0.0454
2024-04-06 04:00:00,0.27261
2024-04-06 05:00:00,0.43468
2024-04-06 06:00:00,0.62764
2024-04-06 07:00:00,0.77075
2024-04-06 08:00:00,0.88486
2024-04-06 09:00:00,0.95166
2024-04-06 10:00:00,1.02559
